ITEM_ID,title,ingredients,nutrition_info,micros_and_macros,price,information,country_of_origin
ITEM_1,Spaghetti Bolognese,"['spaghetti', 'ground beef', 'onions', 'garlic', 'tomato paste', 'crushed tomatoes', 'carrots', 'celery', 'red wine', 'parmesan cheese', 'olive oil', 'basil', 'oregano', 'bay leaves', 'salt', 'pepper']","{'calories': 420, 'protein': 22.0, 'carbohydrates': '50.0gm', 'fat': '14.0gm', 'saturated_fat': '5.0gm', 'cholesterol': '50mg', 'sodium': '650mg', 'fiber': '6.0gm', 'sugar': '8.0gm', 'vitamin_a': '1500IU', 'vitamin_c': '10mg', 'calcium': '200mg', 'iron': '3.0mg'}","['vitamin B6', 'vitamin B12', 'calcium', 'iron', 'phosphorus', 'zinc', 'potassium', 'fiber']",150,"['spaghetti', 'ground beef', 'onions', 'garlic', 'tomato paste', 'crushed tomatoes', 'carrots', 'celery', 'red wine', 'parmesan cheese', 'olive oil', 'basil', 'oregano', 'bay leaves', 'salt', 'pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'rich', 'herbaceous', 'umami']",Italy
ITEM_2,Caesar Salad,"['romaine lettuce', 'parmesan cheese', 'croutons', 'caesar dressing', 'olive oil', 'lemon juice', 'garlic', 'anchovies', 'egg yolks', 'Dijon mustard', 'Worcestershire sauce', 'salt', 'pepper']","{'calories': 300, 'protein': 8.0, 'carbohydrates': '15.0gm', 'fat': '24.0gm', 'saturated_fat': '6.0gm', 'cholesterol': '50mg', 'sodium': '700mg', 'fiber': '3.0gm', 'sugar': '2.0gm', 'vitamin_a': '2000IU', 'vitamin_c': '12mg', 'calcium': '250mg', 'iron': '2.0mg'}","['vitamin K', 'vitamin A', 'calcium', 'iron', 'potassium', 'fiber']",120,"['romaine lettuce', 'parmesan cheese', 'croutons', 'caesar dressing', 'olive oil', 'lemon juice', 'garlic', 'anchovies', 'egg yolks', 'Dijon mustard', 'Worcestershire sauce', 'salt', 'pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'creamy', 'tangy', 'herbaceous']",Italy
ITEM_3,Grilled Cheese Sandwich,"['bread slices', 'cheddar cheese', 'butter']","{'calories': 400, 'protein': 12.0, 'carbohydrates': '30.0gm', 'fat': '25.0gm', 'saturated_fat': '15.0gm', 'cholesterol': '60mg', 'sodium': '600mg', 'fiber': '2.0gm', 'sugar': '3.0gm', 'vitamin_a': '700IU', 'vitamin_c': '0mg', 'calcium': '300mg', 'iron': '2.5mg'}","['vitamin A', 'calcium', 'iron', 'zinc', 'fiber']",80,"['bread slices', 'cheddar cheese', 'butter', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'buttery', 'cheesy', 'crispy']",United States
ITEM_4,Beef Wellington,"['beef tenderloin', 'mushrooms', 'prosciutto', 'puff pastry', 'Dijon mustard', 'egg yolks', 'butter', 'thyme', 'salt', 'pepper']","{'calories': 800, 'protein': 40.0, 'carbohydrates': '50.0gm', 'fat': '50.0gm', 'saturated_fat': '20.0gm', 'cholesterol': '150mg', 'sodium': '800mg', 'fiber': '3.0gm', 'sugar': '2.0gm', 'vitamin_a': '1000IU', 'vitamin_c': '4mg', 'calcium': '100mg', 'iron': '5.0mg'}","['vitamin B12', 'iron', 'zinc', 'phosphorus', 'protein']",500,"['beef tenderloin', 'mushrooms', 'prosciutto', 'puff pastry', 'Dijon mustard', 'egg yolks', 'butter', 'thyme', 'salt', 'pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'rich', 'herbaceous', 'umami']",United Kingdom
ITEM_5,Chicken Tikka Masala,"['chicken', 'yogurt', 'garam masala', 'turmeric', 'cumin', 'coriander', 'paprika', 'tomato puree', 'heavy cream', 'onions', 'garlic', 'ginger', 'butter', 'cilantro', 'salt', 'pepper']","{'calories': 450, 'protein': 30.0, 'carbohydrates': '15.0gm', 'fat': '30.0gm', 'saturated_fat': '15.0gm', 'cholesterol': '100mg', 'sodium': '750mg', 'fiber': '4.0gm', 'sugar': '6.0gm', 'vitamin_a': '1200IU', 'vitamin_c': '8mg', 'calcium': '150mg', 'iron': '3.0mg'}","['vitamin A', 'vitamin C', 'iron', 'calcium', 'protein', 'potassium']",180,"['chicken', 'yogurt', 'garam masala', 'turmeric', 'cumin', 'coriander', 'paprika', 'tomato puree', 'heavy cream', 'onions', 'garlic', 'ginger', 'butter', 'cilantro', 'salt', 'pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'spicy', 'creamy', 'herbaceous']",India
ITEM_6,Pad Thai,"['rice noodles', 'shrimp', 'eggs', 'tofu', 'bean sprouts', 'peanuts', 'green onions', 'garlic', 'tamarind paste', 'fish sauce', 'soy sauce', 'palm sugar', 'lime', 'chili flakes', 'peanut oil', 'cilantro']","{'calories': 500, 'protein': 25.0, 'carbohydrates': '55.0gm', 'fat': '18.0gm', 'saturated_fat': '3.0gm', 'cholesterol': '150mg', 'sodium': '900mg', 'fiber': '5.0gm', 'sugar': '10.0gm', 'vitamin_a': '800IU', 'vitamin_c': '15mg', 'calcium': '100mg', 'iron': '3.5mg'}","['vitamin C', 'iron', 'calcium', 'protein', 'fiber', 'potassium', 'zinc']",200,"['rice noodles', 'shrimp', 'eggs', 'tofu', 'bean sprouts', 'peanuts', 'green onions', 'garlic', 'tamarind paste', 'fish sauce', 'soy sauce', 'palm sugar', 'lime', 'chili flakes', 'peanut oil', 'cilantro', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'sweet', 'spicy', 'tangy']",Thailand
ITEM_7,Sushi Rolls,"['sushi rice', 'nori (seaweed)', 'raw fish (tuna, salmon, etc.)', 'cucumber', 'avocado', 'soy sauce', 'wasabi', 'pickled ginger', 'rice vinegar', 'sugar', 'salt', 'sesame seeds']","{'calories': 300, 'protein': 20.0, 'carbohydrates': '35.0gm', 'fat': '8.0gm', 'saturated_fat': '1.5gm', 'cholesterol': '50mg', 'sodium': '700mg', 'fiber': '4.0gm', 'sugar': '3.0gm', 'vitamin_a': '200IU', 'vitamin_c': '10mg', 'calcium': '60mg', 'iron': '1.5mg'}","['vitamin C', 'iron', 'calcium', 'protein', 'fiber', 'omega-3 fatty acids']",400,"['sushi rice', 'nori', 'raw fish', 'cucumber', 'avocado', 'soy sauce', 'wasabi', 'pickled ginger', 'rice vinegar', 'sugar', 'salt', 'sesame seeds', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'fresh', 'umami', 'light']",Japan
ITEM_8,Lasagna,"['lasagna noodles', 'ground beef', 'ricotta cheese', 'mozzarella cheese', 'parmesan cheese', 'tomato sauce', 'garlic', 'onions', 'oregano', 'basil', 'egg', 'olive oil', 'salt', 'black pepper', 'parmesan cheese']","{'calories': 450, 'protein': 30.0, 'carbohydrates': '40.0gm', 'fat': '18.0gm', 'saturated_fat': '7.0gm', 'cholesterol': '90mg', 'sodium': '700mg', 'fiber': '3.0gm', 'sugar': '8.0gm', 'vitamin_a': '500IU', 'vitamin_c': '5mg', 'calcium': '150mg', 'iron': '4.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber', 'sodium']",350,"['lasagna noodles', 'ground beef', 'ricotta cheese', 'mozzarella cheese', 'parmesan cheese', 'tomato sauce', 'garlic', 'onions', 'oregano', 'basil', 'egg', 'olive oil', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'hearty', 'savory', 'comforting']",Italy
ITEM_9,Fish and Chips,"['white fish fillets (cod, haddock)', 'potatoes', 'flour', 'cornstarch', 'baking powder', 'salt', 'pepper', 'beer', 'vegetable oil', 'lemon', 'tartar sauce']","{'calories': 600, 'protein': 30.0, 'carbohydrates': '70.0gm', 'fat': '25.0gm', 'saturated_fat': '3.5gm', 'cholesterol': '60mg', 'sodium': '800mg', 'fiber': '5.0gm', 'sugar': '2.0gm', 'vitamin_a': '200IU', 'vitamin_c': '20mg', 'calcium': '50mg', 'iron': '3.0mg'}","['vitamin C', 'iron', 'calcium', 'protein', 'fiber']",350,"['white fish fillets', 'potatoes', 'flour', 'cornstarch', 'baking powder', 'salt', 'pepper', 'beer', 'vegetable oil', 'lemon', 'tartar sauce', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'crispy', 'fried', 'savory']",United Kingdom
ITEM_10,Beef Stir-fry,"['beef strips', 'broccoli', 'carrots', 'bell peppers', 'onions', 'garlic', 'ginger', 'soy sauce', 'hoisin sauce', 'sesame oil', 'vegetable oil', 'rice', 'cornstarch', 'green onions', 'sesame seeds']","{'calories': 400, 'protein': 30.0, 'carbohydrates': '30.0gm', 'fat': '18.0gm', 'saturated_fat': '3.0gm', 'cholesterol': '60mg', 'sodium': '900mg', 'fiber': '5.0gm', 'sugar': '10.0gm', 'vitamin_a': '1500IU', 'vitamin_c': '60mg', 'calcium': '80mg', 'iron': '4.0mg'}","['vitamin A', 'vitamin C', 'iron', 'calcium', 'protein', 'fiber']",350,"['beef strips', 'broccoli', 'carrots', 'bell peppers', 'onions', 'garlic', 'ginger', 'soy sauce', 'hoisin sauce', 'sesame oil', 'vegetable oil', 'rice', 'cornstarch', 'green onions', 'sesame seeds', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber',  'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'umami', 'crispy']",China
ITEM_11,Chicken Alfredo,"['chicken breast', 'fettuccine pasta', 'heavy cream', 'butter', 'garlic', 'parmesan cheese', 'olive oil', 'salt', 'black pepper', 'parsley', 'milk', 'flour']","{'calories': 600, 'protein': 35.0, 'carbohydrates': '50.0gm', 'fat': '30.0gm', 'saturated_fat': '15.0gm', 'cholesterol': '120mg', 'sodium': '850mg', 'fiber': '2.0gm', 'sugar': '5.0gm', 'vitamin_a': '800IU', 'vitamin_c': '5mg', 'calcium': '200mg', 'iron': '2.5mg'}","['vitamin A', 'calcium', 'iron', 'protein', 'fiber']",400,"['chicken breast', 'fettuccine pasta', 'heavy cream', 'butter', 'garlic', 'parmesan cheese', 'olive oil', 'salt', 'black pepper', 'parsley', 'milk', 'flour', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber',  'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'creamy', 'rich', 'comforting']",Italy
ITEM_18,Ramen,"['ramen noodles', 'chicken broth', 'soy sauce', 'miso paste', 'sesame oil', 'garlic', 'ginger', 'green onions', 'boiled egg', 'nori', 'chashu pork', 'bamboo shoots', 'corn', 'spinach', 'mushrooms']","{'calories': 550, 'protein': 30.0, 'carbohydrates': '60.0gm', 'fat': '20.0gm', 'saturated_fat': '6.0gm', 'cholesterol': '150mg', 'sodium': '1500mg', 'fiber': '4.0gm', 'sugar': '5.0gm', 'vitamin_a': '500IU', 'vitamin_c': '20mg', 'calcium': '150mg', 'iron': '4.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",350,"['ramen noodles', 'chicken broth', 'soy sauce', 'miso paste', 'sesame oil', 'garlic', 'ginger', 'green onions', 'boiled egg', 'nori', 'chashu pork', 'bamboo shoots', 'corn', 'spinach', 'mushrooms', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'spicy']",Japan
ITEM_19,Fettuccine Alfredo,"['fettuccine pasta', 'butter', 'heavy cream', 'parmesan cheese', 'garlic', 'olive oil', 'salt', 'black pepper', 'nutmeg', 'parsley']","{'calories': 700, 'protein': 18.0, 'carbohydrates': '60.0gm', 'fat': '45.0gm', 'saturated_fat': '25.0gm', 'cholesterol': '150mg', 'sodium': '800mg', 'fiber': '3.0gm', 'sugar': '5.0gm', 'vitamin_a': '1200IU', 'vitamin_c': '2mg', 'calcium': '350mg', 'iron': '2.0mg'}","['vitamin A', 'calcium', 'iron', 'protein', 'fiber']",400,"['fettuccine pasta', 'butter', 'heavy cream', 'parmesan cheese', 'garlic', 'olive oil', 'salt', 'black pepper', 'nutmeg', 'parsley', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'creamy', 'cheesy']",Italy
ITEM_20,Hamburger,"['ground beef', 'hamburger buns', 'cheddar cheese', 'lettuce', 'tomato', 'onions', 'pickles', 'ketchup', 'mustard', 'mayonnaise', 'salt', 'black pepper']","{'calories': 500, 'protein': 30.0, 'carbohydrates': '40.0gm', 'fat': '25.0gm', 'saturated_fat': '10.0gm', 'cholesterol': '80mg', 'sodium': '700mg', 'fiber': '3.0gm', 'sugar': '6.0gm', 'vitamin_a': '400IU', 'vitamin_c': '10mg', 'calcium': '150mg', 'iron': '3.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",250,"['ground beef', 'hamburger buns', 'cheddar cheese', 'lettuce', 'tomato', 'onions', 'pickles', 'ketchup', 'mustard', 'mayonnaise', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'juicy', 'savory']",United States
ITEM_21,Chicken Wings,"['chicken wings', 'olive oil', 'garlic powder', 'onion powder', 'paprika', 'salt', 'black pepper', 'cayenne pepper', 'honey', 'hot sauce', 'butter', 'cilantro']","{'calories': 600, 'protein': 40.0, 'carbohydrates': '15.0gm', 'fat': '45.0gm', 'saturated_fat': '12.0gm', 'cholesterol': '120mg', 'sodium': '1000mg', 'fiber': '2.0gm', 'sugar': '7.0gm', 'vitamin_a': '500IU', 'vitamin_c': '10mg', 'calcium': '50mg', 'iron': '2.5mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",350,"['chicken wings', 'olive oil', 'garlic powder', 'onion powder', 'paprika', 'salt', 'black pepper', 'cayenne pepper', 'honey', 'hot sauce', 'butter', 'cilantro', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'spicy', 'savory', 'crispy']",United States
ITEM_22,Stuffed Peppers,"['bell peppers', 'ground beef', 'onions', 'garlic', 'tomato sauce', 'rice', 'cheddar cheese', 'parsley', 'oregano', 'salt', 'black pepper']","{'calories': 450, 'protein': 30.0, 'carbohydrates': '35.0gm', 'fat': '25.0gm', 'saturated_fat': '10.0gm', 'cholesterol': '70mg', 'sodium': '700mg', 'fiber': '5.0gm', 'sugar': '6.0gm', 'vitamin_a': '800IU', 'vitamin_c': '20mg', 'calcium': '150mg', 'iron': '4.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",300,"['bell peppers', 'ground beef', 'onions', 'garlic', 'tomato sauce', 'rice', 'cheddar cheese', 'parsley', 'oregano', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'hearty']",Mexico
ITEM_23,Crab Cakes,"['crab meat', 'bread crumbs', 'egg', 'mayonnaise', 'mustard', 'old bay seasoning', 'lemon juice', 'parsley', 'salt', 'black pepper', 'olive oil']","{'calories': 400, 'protein': 30.0, 'carbohydrates': '20.0gm', 'fat': '25.0gm', 'saturated_fat': '5.0gm', 'cholesterol': '100mg', 'sodium': '800mg', 'fiber': '2.0gm', 'sugar': '3.0gm', 'vitamin_a': '400IU', 'vitamin_c': '5mg', 'calcium': '100mg', 'iron': '2.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",350,"['crab meat', 'bread crumbs', 'egg', 'mayonnaise', 'mustard', 'old bay seasoning', 'lemon juice', 'parsley', 'salt', 'black pepper', 'olive oil', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'crunchy']",Mexico
ITEM_12,Shrimp Scampi,"['shrimp', 'butter', 'olive oil', 'garlic', 'lemon', 'white wine', 'parsley', 'spaghetti', 'parmesan cheese', 'salt', 'black pepper', 'red pepper flakes']","{'calories': 450, 'protein': 35.0, 'carbohydrates': '40.0gm', 'fat': '18.0gm', 'saturated_fat': '7.0gm', 'cholesterol': '200mg', 'sodium': '800mg', 'fiber': '3.0gm', 'sugar': '2.0gm', 'vitamin_a': '400IU', 'vitamin_c': '15mg', 'calcium': '150mg', 'iron': '2.5mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",500,"['shrimp', 'butter', 'olive oil', 'garlic', 'lemon', 'white wine', 'parsley', 'spaghetti', 'parmesan cheese', 'salt', 'black pepper', 'red pepper flakes', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'buttery', 'garlicky']",United Kingdom
