ITEM_ID,title,ingredients,nutrition_info,micros_and_macros,price,information,country_of_origin
ITEM_13,Veggie Burger,"['black beans', 'quinoa', 'carrots', 'onions', 'garlic', 'breadcrumbs', 'egg', 'cumin', 'paprika', 'olive oil', 'whole wheat buns', 'lettuce', 'tomato', 'cheese', 'pickles']","{'calories': 350, 'protein': 20.0, 'carbohydrates': '50.0gm', 'fat': '12.0gm', 'saturated_fat': '1.5gm', 'cholesterol': '50mg', 'sodium': '600mg', 'fiber': '10.0gm', 'sugar': '5.0gm', 'vitamin_a': '900IU', 'vitamin_c': '30mg', 'calcium': '150mg', 'iron': '3.0mg'}","['vitamin A', 'vitamin C', 'iron', 'calcium', 'fiber', 'protein']",300,"['black beans', 'quinoa', 'carrots', 'onions', 'garlic', 'breadcrumbs', 'egg', 'cumin', 'paprika', 'olive oil', 'whole wheat buns', 'lettuce', 'tomato', 'cheese', 'pickles', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'healthy', 'vegetarian', 'savory']",Italy
ITEM_14,Chicken Parmesan,"['chicken breast', 'mozzarella cheese', 'parmesan cheese', 'tomato sauce', 'breadcrumbs', 'egg', 'flour', 'olive oil', 'garlic', 'oregano', 'basil', 'salt', 'black pepper', 'spaghetti']","{'calories': 700, 'protein': 45.0, 'carbohydrates': '50.0gm', 'fat': '30.0gm', 'saturated_fat': '10.0gm', 'cholesterol': '100mg', 'sodium': '900mg', 'fiber': '4.0gm', 'sugar': '10.0gm', 'vitamin_a': '1200IU', 'vitamin_c': '15mg', 'calcium': '300mg', 'iron': '4.5mg'}","['vitamin A', 'calcium', 'iron', 'protein', 'fiber']",450,"['chicken breast', 'mozzarella cheese', 'parmesan cheese', 'tomato sauce', 'breadcrumbs', 'egg', 'flour', 'olive oil', 'garlic', 'oregano', 'basil', 'salt', 'black pepper', 'spaghetti', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'comforting', 'cheesy', 'savory']",Lebanon
ITEM_15,Shepherd’s Pie,"['ground lamb', 'onions', 'garlic', 'carrots', 'peas', 'potatoes', 'butter', 'milk', 'cheddar cheese', 'beef broth', 'tomato paste', 'thyme', 'rosemary', 'salt', 'black pepper']","{'calories': 500, 'protein': 25.0, 'carbohydrates': '50.0gm', 'fat': '25.0gm', 'saturated_fat': '10.0gm', 'cholesterol': '80mg', 'sodium': '700mg', 'fiber': '6.0gm', 'sugar': '8.0gm', 'vitamin_a': '800IU', 'vitamin_c': '25mg', 'calcium': '150mg', 'iron': '4.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",400,"['ground lamb', 'onions', 'garlic', 'carrots', 'peas', 'potatoes', 'butter', 'milk', 'cheddar cheese', 'beef broth', 'tomato paste', 'thyme', 'rosemary', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'hearty', 'comforting', 'savory']",Mexico
ITEM_16,Falafel,"['chickpeas', 'onions', 'garlic', 'parsley', 'coriander', 'cumin', 'cayenne pepper', 'flour', 'baking powder', 'salt', 'black pepper', 'vegetable oil', 'lemon', 'tahini sauce']","{'calories': 250, 'protein': 12.0, 'carbohydrates': '35.0gm', 'fat': '10.0gm', 'saturated_fat': '1.5gm', 'cholesterol': '0mg', 'sodium': '400mg', 'fiber': '7.0gm', 'sugar': '4.0gm', 'vitamin_a': '50IU', 'vitamin_c': '5mg', 'calcium': '60mg', 'iron': '3.5mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",200,"['chickpeas', 'onions', 'garlic', 'parsley', 'coriander', 'cumin', 'cayenne pepper', 'flour', 'baking powder', 'salt', 'black pepper', 'vegetable oil', 'lemon', 'tahini sauce', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'vegan', 'savory', 'spicy']",Italy
ITEM_17,Tacos,"['corn tortillas', 'ground beef or chicken', 'onions', 'garlic', 'tomatoes', 'lettuce', 'cheddar cheese', 'sour cream', 'guacamole', 'lime', 'taco seasoning', 'jalapeños', 'cilantro']","{'calories': 300, 'protein': 20.0, 'carbohydrates': '30.0gm', 'fat': '15.0gm', 'saturated_fat': '5.0gm', 'cholesterol': '60mg', 'sodium': '800mg', 'fiber': '4.0gm', 'sugar': '3.0gm', 'vitamin_a': '1500IU', 'vitamin_c': '15mg', 'calcium': '100mg', 'iron': '3.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",250,"['corn tortillas', 'ground beef or chicken', 'onions', 'garlic', 'tomatoes', 'lettuce', 'cheddar cheese', 'sour cream', 'guacamole', 'lime', 'taco seasoning', 'jalapeños', 'cilantro', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'spicy', 'savory', 'mexican']",United Kingdom
ITEM_24,Beef Burritos,"['ground beef', 'flour tortillas', 'onions', 'garlic', 'tomato', 'cheddar cheese', 'sour cream', 'guacamole', 'lettuce', 'black beans', 'jalapenos', 'cumin', 'chili powder', 'lime', 'cilantro']","{'calories': 650, 'protein': 30.0, 'carbohydrates': '50.0gm', 'fat': '35.0gm', 'saturated_fat': '12.0gm', 'cholesterol': '70mg', 'sodium': '900mg', 'fiber': '7.0gm', 'sugar': '6.0gm', 'vitamin_a': '500IU', 'vitamin_c': '20mg', 'calcium': '150mg', 'iron': '4.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",300,"['ground beef', 'flour tortillas', 'onions', 'garlic', 'tomato', 'cheddar cheese', 'sour cream', 'guacamole', 'lettuce', 'black beans', 'jalapenos', 'cumin', 'chili powder', 'lime', 'cilantro', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'spicy', 'savory']",Mexico
ITEM_25,Sashimi,"['tuna', 'salmon', 'yellowtail', 'seaweed', 'soy sauce', 'wasabi', 'pickled ginger']","{'calories': 200, 'protein': 25.0, 'carbohydrates': '1.0gm', 'fat': '10.0gm', 'saturated_fat': '2.0gm', 'cholesterol': '40mg', 'sodium': '500mg', 'fiber': '0.0gm', 'sugar': '1.0gm', 'vitamin_a': '500IU', 'vitamin_c': '1mg', 'calcium': '20mg', 'iron': '1.5mg'}","['vitamin A', 'iron', 'calcium', 'protein']",450,"['tuna', 'salmon', 'yellowtail', 'seaweed', 'soy sauce', 'wasabi', 'pickled ginger', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'fresh', 'light']",Japan
ITEM_26,Quiche Lorraine,"['pie crust', 'bacon', 'eggs', 'heavy cream', 'milk', 'cheddar cheese', 'swiss cheese', 'onions', 'nutmeg', 'salt', 'black pepper']","{'calories': 450, 'protein': 18.0, 'carbohydrates': '30.0gm', 'fat': '30.0gm', 'saturated_fat': '15.0gm', 'cholesterol': '120mg', 'sodium': '700mg', 'fiber': '2.0gm', 'sugar': '4.0gm', 'vitamin_a': '1000IU', 'vitamin_c': '2mg', 'calcium': '200mg', 'iron': '2.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",400,"['pie crust', 'bacon', 'eggs', 'heavy cream', 'milk', 'cheddar cheese', 'swiss cheese', 'onions', 'nutmeg', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'creamy', 'savory']",France
ITEM_27,Meatballs and Spaghetti,"['spaghetti', 'ground beef', 'breadcrumbs', 'egg', 'garlic', 'parmesan cheese', 'tomato sauce', 'olive oil', 'onions', 'basil', 'oregano', 'salt', 'black pepper']","{'calories': 600, 'protein': 35.0, 'carbohydrates': '60.0gm', 'fat': '25.0gm', 'saturated_fat': '8.0gm', 'cholesterol': '70mg', 'sodium': '800mg', 'fiber': '5.0gm', 'sugar': '8.0gm', 'vitamin_a': '500IU', 'vitamin_c': '12mg', 'calcium': '150mg', 'iron': '3.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",350,"['spaghetti', 'ground beef', 'breadcrumbs', 'egg', 'garlic', 'parmesan cheese', 'tomato sauce', 'olive oil', 'onions', 'basil', 'oregano', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'hearty']",Italy
ITEM_28,Grilled Salmon,"['salmon fillets', 'olive oil', 'lemon', 'garlic', 'dill', 'salt', 'black pepper']","{'calories': 350, 'protein': 30.0, 'carbohydrates': '2.0gm', 'fat': '25.0gm', 'saturated_fat': '5.0gm', 'cholesterol': '70mg', 'sodium': '500mg', 'fiber': '0.0gm', 'sugar': '1.0gm', 'vitamin_a': '800IU', 'vitamin_c': '10mg', 'calcium': '50mg', 'iron': '2.5mg'}","['vitamin A', 'iron', 'calcium', 'protein']",450,"['salmon fillets', 'olive oil', 'lemon', 'garlic', 'dill', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'flaky']",United States
ITEM_29,Pork Schnitzel,"['pork tenderloin', 'breadcrumbs', 'egg', 'flour', 'lemon', 'parsley', 'salt', 'black pepper', 'vegetable oil']","{'calories': 450, 'protein': 30.0, 'carbohydrates': '30.0gm', 'fat': '25.0gm', 'saturated_fat': '8.0gm', 'cholesterol': '60mg', 'sodium': '700mg', 'fiber': '2.0gm', 'sugar': '3.0gm', 'vitamin_a': '300IU', 'vitamin_c': '4mg', 'calcium': '150mg', 'iron': '3.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",400,"['pork tenderloin', 'breadcrumbs', 'egg', 'flour', 'lemon', 'parsley', 'salt', 'black pepper', 'vegetable oil', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'crispy', 'savory']",Germany
ITEM_30,Burrito Bowl,"['brown rice', 'ground beef', 'black beans', 'corn', 'tomato', 'cheddar cheese', 'guacamole', 'sour cream', 'cilantro', 'lime', 'jalapenos', 'onions', 'lettuce', 'taco seasoning', 'salsa']","{'calories': 700, 'protein': 35.0, 'carbohydrates': '75.0gm', 'fat': '25.0gm', 'saturated_fat': '8.0gm', 'cholesterol': '50mg', 'sodium': '900mg', 'fiber': '10.0gm', 'sugar': '8.0gm', 'vitamin_a': '600IU', 'vitamin_c': '20mg', 'calcium': '200mg', 'iron': '4.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",350,"['brown rice', 'ground beef', 'black beans', 'corn', 'tomato', 'cheddar cheese', 'guacamole', 'sour cream', 'cilantro', 'lime', 'jalapenos', 'onions', 'lettuce', 'taco seasoning', 'salsa', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'spicy', 'savory']",Mexico
ITEM_31,Chicken Fried Rice,"['chicken breast', 'rice', 'eggs', 'carrots', 'peas', 'onions', 'garlic', 'soy sauce', 'sesame oil', 'green onions', 'ginger', 'black pepper']","{'calories': 600, 'protein': 35.0, 'carbohydrates': '60.0gm', 'fat': '20.0gm', 'saturated_fat': '5.0gm', 'cholesterol': '60mg', 'sodium': '800mg', 'fiber': '5.0gm', 'sugar': '4.0gm', 'vitamin_a': '800IU', 'vitamin_c': '15mg', 'calcium': '100mg', 'iron': '2.5mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",320,"['chicken breast', 'rice', 'eggs', 'carrots', 'peas', 'onions', 'garlic', 'soy sauce', 'sesame oil', 'green onions', 'ginger', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'umami']",Italy
ITEM_32,Pizza Margherita,"['pizza dough', 'tomato sauce', 'fresh mozzarella', 'basil', 'olive oil', 'garlic', 'salt', 'black pepper']","{'calories': 250, 'protein': 10.0, 'carbohydrates': '30.0gm', 'fat': '12.0gm', 'saturated_fat': '5.0gm', 'cholesterol': '20mg', 'sodium': '450mg', 'fiber': '2.0gm', 'sugar': '5.0gm', 'vitamin_a': '200IU', 'vitamin_c': '5mg', 'calcium': '150mg', 'iron': '1.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",400,"['pizza dough', 'tomato sauce', 'fresh mozzarella', 'basil', 'olive oil', 'garlic', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'fresh', 'classic']",Japan
ITEM_33,Beef Enchiladas,"['ground beef', 'corn tortillas', 'onions', 'garlic', 'cheddar cheese', 'tomato sauce', 'chili powder', 'cumin', 'sour cream', 'jalapenos', 'cilantro', 'lime']","{'calories': 500, 'protein': 30.0, 'carbohydrates': '50.0gm', 'fat': '25.0gm', 'saturated_fat': '10.0gm', 'cholesterol': '80mg', 'sodium': '700mg', 'fiber': '6.0gm', 'sugar': '7.0gm', 'vitamin_a': '600IU', 'vitamin_c': '15mg', 'calcium': '150mg', 'iron': '4.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",350,"['ground beef', 'corn tortillas', 'onions', 'garlic', 'cheddar cheese', 'tomato sauce', 'chili powder', 'cumin', 'sour cream', 'jalapenos', 'cilantro', 'lime', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'spicy', 'savory']",Italy
ITEM_34,Mushroom Risotto,"['arborio rice', 'chicken broth', 'mushrooms', 'parmesan cheese', 'butter', 'onions', 'garlic', 'white wine', 'olive oil', 'thyme', 'salt', 'black pepper']","{'calories': 400, 'protein': 10.0, 'carbohydrates': '60.0gm', 'fat': '15.0gm', 'saturated_fat': '7.0gm', 'cholesterol': '25mg', 'sodium': '600mg', 'fiber': '4.0gm', 'sugar': '3.0gm', 'vitamin_a': '200IU', 'vitamin_c': '5mg', 'calcium': '150mg', 'iron': '2.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",400,"['arborio rice', 'chicken broth', 'mushrooms', 'parmesan cheese', 'butter', 'onions', 'garlic', 'white wine', 'olive oil', 'thyme', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'creamy', 'earthy']",Mexico
ITEM_35,Pad See Ew,"['rice noodles', 'chicken breast', 'broccoli', 'carrots', 'garlic', 'soy sauce', 'oyster sauce', 'egg', 'brown sugar', 'lime', 'cilantro']","{'calories': 550, 'protein': 30.0, 'carbohydrates': '60.0gm', 'fat': '20.0gm', 'saturated_fat': '7.0gm', 'cholesterol': '70mg', 'sodium': '900mg', 'fiber': '5.0gm', 'sugar': '9.0gm', 'vitamin_a': '500IU', 'vitamin_c': '15mg', 'calcium': '150mg', 'iron': '3.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",350,"['rice noodles', 'chicken breast', 'broccoli', 'carrots', 'garlic', 'soy sauce', 'oyster sauce', 'egg', 'brown sugar', 'lime', 'cilantro', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'umami']",Italy
ITEM_36,Eggplant Parmesan,"['eggplant', 'breadcrumbs', 'parmesan cheese', 'mozzarella cheese', 'marinara sauce', 'olive oil', 'garlic', 'basil', 'oregano', 'salt', 'black pepper']","{'calories': 350, 'protein': 15.0, 'carbohydrates': '40.0gm', 'fat': '15.0gm', 'saturated_fat': '6.0gm', 'cholesterol': '30mg', 'sodium': '700mg', 'fiber': '8.0gm', 'sugar': '6.0gm', 'vitamin_a': '800IU', 'vitamin_c': '10mg', 'calcium': '200mg', 'iron': '2.0mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",380,"['eggplant', 'breadcrumbs', 'parmesan cheese', 'mozzarella cheese', 'marinara sauce', 'olive oil', 'garlic', 'basil', 'oregano', 'salt', 'black pepper', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'savory', 'cheesy']",Japan
ITEM_37,Chicken Katsu,"['chicken breast', 'panko breadcrumbs', 'flour', 'egg', 'soy sauce', 'mirin', 'sugar', 'sesame oil', 'vegetable oil', 'cabbage', 'lemon']","{'calories': 700, 'protein': 40.0, 'carbohydrates': '50.0gm', 'fat': '35.0gm', 'saturated_fat': '6.0gm', 'cholesterol': '75mg', 'sodium': '800mg', 'fiber': '4.0gm', 'sugar': '6.0gm', 'vitamin_a': '150IU', 'vitamin_c': '5mg', 'calcium': '80mg', 'iron': '3.5mg'}","['vitamin A', 'iron', 'calcium', 'protein', 'fiber']",450,"['chicken breast', 'panko breadcrumbs', 'flour', 'egg', 'soy sauce', 'mirin', 'sugar', 'sesame oil', 'vegetable oil', 'cabbage', 'lemon', 'calories', 'protein', 'carbohydrates', 'fat', 'saturated_fat', 'cholesterol', 'sodium', 'fiber', 'sugar', 'vitamin_a', 'vitamin_c', 'calcium', 'iron', 'crispy', 'savory']",United States
